	summarized	lineages	abundances	resid	coverage
Mixture21	[('Other', 0.0020964399999990504)]	B.1.1.219	0.00209644	0.0004750672971376321	2.4646356552854227
Mixture04	[('Omicron', 0.7736210547624871), ('Alpha', 0.2252309999957472)]	XAE B.1.1.529 Q.3 Q.6 Q.2 Q.5 Q.1 B.1.1.7	0.73562932 0.03799173 0.03753850 0.03753850 0.03753850 0.03753850 0.03753850 0.03753850	8.570407049052086	21.68009898672374
Mixture23	[('BA.2.75* [Omicron (BA.2.75.X)]', 0.4727272727297413), ('CH.1.1* [Omicron (CH.1.1.X)]', 0.3227272727289581), ('Omicron', 0.15000000000078353), ('Other', 0.054545454545739495)]	XCU JV.2 JV.1 DV.7.1.7 BA.2.79.1 BA.2.12.1 BA.2.21 BA.2.76 BA.2.79 BA.2.66 BA.2.78 BA.2.67 FK.1.3.2 DV.7.1 FK.1.3.1 XDQ.1 FK.1.1.1 FK.1.1.2 FK.1.3 FK.1.5 XDQ FK.1.4.1 FK.1.1 XCC DV.6.2 DV.6.1 DV.8 DV.1.1 DV.3.1 FK.1.4 FK.1.2.1 DV.5 DV.7 DV.3 FK.1.2 FR.1.3 FR.1.1 FR.1.4 XBV XBF.7.1 CJ.1.3.1 DV.6 DV.1 DV.2 XCE CJ.1.3.2 FR.1.2 XCN XBF.7 CH.1.1.18 GQ.1.1 DV.4 CH.1.1.22 FS.1 FJ.1 CH.1.1.32 FK.1 DS.2 DS.1 XCG EP.2 CV.1 XBF CH.1.1.5 CH.1.1.16 CH.1.1.30 CH.1.1.23 CH.1.1.8 CH.1.1.12 GP.1 GP.3 CH.1.1.13 CH.1.1.14 CH.1.1.2 CH.1.1.21 EP.1 XBK.1 CJ.1.3 CJ.1.1 CJ.1.2 GQ.1 CH.1.1.19 CH.1.1.17 GP.2 CH.1.1.15 CH.1.1.29 CH.1.1.25 CH.1.1.24 CH.1.1.4 FR.1 FR.2 DS.3 XBY XBN XDH BM.1.1.2 CV.2 XBQ XBK CH.1.1.28 CH.1.1.11 CH.1.1.10 CH.1.1.26 BN.1.5.1 BN.1.5.2 BN.1.2.5 BN.1.2.1 BN.1.4.1 BN.1.3.3 BM.1.1.5 BM.1.1.3 CJ.1 CH.3.1 CH.1.1.27 CH.1.1.3 CH.1.1.1 BN.1.2.7 BN.1.2.8 BN.1.4.4 BN.1.4.2 BN.1.4.3 BN.1.3.4 BN.1.3.1 BM.1.1.4 CH.3 CH.1.1 BN.1.11 BN.1.1.1 BN.1.2.2 BN.1.2.6 BN.1.2.3 BN.1.2.4 BN.1.4.5 BR.2.1 BM.1.1.1 CH.1 BN.3 BN.1.8 BN.1.6 BN.1.1 BN.1.9 BN.1.2 BR.2 BY.1.1.1 BL.2.1 BL.1.5 BL.1.2 BL.1.4 BM.1.1 CH.2 BM.2.1 BN.1.10 BN.1.7 BN.1.5 BN.1.4 BN.1.3 BL.1.1 BM.4.1.1 BN.1 BN.2.1 BY.1.1 BY.1.2 BL.4 BL.2 BL.3 BL.5 BL.1.3 BM.4.1 BM.2.2 BM.2.3 BN.4 BA.2.75.4 CB.1 BY.1 BL.1 BM.1 BM.4 BM.5 BM.3 BM.2 BN.6 BN.2 BN.5 BA.2.75.8 BA.2.75.9 BA.2.75.6 BA.2.75.1 BA.2.75.7 BA.2.75.3 BA.2.75.5 BA.2.75.10 BA.2.75 BG.7 BG.4 XAJ BG.1 BA.2.38.2 BG.3 BA.2.76.1 BA.2.38.4 BG.5 BA.2.76.2 BA.2.38.1 BA.2.12.2 BA.2.38 BA.2.57 BA.2.12 BA.2.73 BA.2.68 BA.2.17 BA.2.37 XDN DV.7.1.6 DV.7.1.2 DV.7.1.3 JL.1 KG.1 DV.7.1.1 DV.7.1.8 DV.7.1.5	0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545 0.00454545	0.2014953598031029	2.534862722803732
Mixture25	[('Omicron', 0.9985677430541956)]	BA.5.5	0.99856774	3.3832011914384608	16.41975721499515
Mixture19	[('Omicron', 0.9772557315692691), ('Other', 0.020792675139771698)]	XF BA.1.15.3 BA.1.1.16 BA.1.1.5 BA.1.1.17 BC.2 BA.1.15.1 BA.1.15.2 BD.1 BA.1.16.2 BA.1.1.2 BA.1.1.18 BA.1.1.9 BA.1.1.7 BA.1.1.10 BA.1.1.15 BA.1.1.8 BA.1.1.12 BA.1.1.11 BA.1.1.6 BA.1.1.14 BA.1.1.4 BA.1.8 BA.1.15 BA.1.13.1 BA.1.23 BA.1.1.1 BA.1.22 BA.1.24 BA.1.17.2 BA.1.17.1 BA.1.14.2 BA.1.3 BA.1.21.1 BA.1.1 BA.1.18 BA.1.17 BA.1.16 BA.1.13 BA.1.14 BA.1.9 BA.1.19 BA.1.21 BA.1.5 BA.1.4 BA.1.7 BA.1.10 BA.1	0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268 0.02079268	0.9406373427958356	7.434036718723874
Mixture13	[('Omicron', 0.9985544135582755)]	BA.4.1.3 BA.4.1.4 BA.4.1	0.33285147 0.33285147 0.33285147	3.99279786280969	23.308698123934054
Mixture01	[('Other', 0.5827266601731883), ('Alpha', 0.4155982179988025)]	C.28 Q.1 B.1.1.7	0.58272666 0.20779911 0.20779910	5.617216944034325	21.058087817275858
Mixture16	[('Gamma', 0.9992400576998323)]	P.1.12 P.1.6 P.1.14 P.1.1 P.1.3 P.1.10 P.1.16 P.1.7 P.1.4	0.11102667 0.11102667 0.11102667 0.11102667 0.11102667 0.11102667 0.11102667 0.11102667 0.11102667	1.79182731859043	28.140989198408185
Mixture24	[('Omicron', 0.9973880163159313)]	BF.34 BF.13 BF.25 BF.29 BF.15 BF.1 BF.35 BF.3 BF.23	0.11082089 0.11082089 0.11082089 0.11082089 0.11082089 0.11082089 0.11082089 0.11082089 0.11082089	6.030210787945188	40.290271879075675
Mixture33	[('Other', 0.9618478413383829), ('A', 0.024132383116016443)]	B AA.4 AA.8 U.2 AA.7 AA.2 AA.6 U.1 B.1.177.26 B.1.177.37 B.1.177.39 B.1.177.30 B.1.177.86 B.1.177.67 B.1.177.40 B.1.177.42 B.1.177.36 B.1.177.15 B.1.177.58 B.1.177.5 B.1.177.6 B.1.177.23 B.1.177.35 B.1.177.38 B.1.177.44 AA.1 A.23 B.1.517.1 B.1.134 B.1.195 B.1.78 B.1.143 B.1.145 B.1.142 B.1.540 B.1.383 A.22 B.1.153 B.1.91 B.1.199 B.1.378 B.1.106 B.1.105 B.1.555 B.1.83 B.1.211 B.1.387 B.1.220 B.1.137 B.1.535 A.1 A.18 B.1.205 B.1.210 B.1.151 B.1.208 B.1.212 B.1.6 B.1.213 B.1.178 B.1.1.214 B.1.1.432 B.1.1.243 B.1.1.228 B.1.1.46 B.1.1.161 B.1.1.450 B.1.1.344 B.1.240.1 B.1.338 B.1.517 B.1.516 B.1.1.397 B.1.1.93 N.6 N.8 B.1.1.302 B.1.1.227 B.1.36.1 B.1.177.75 B.1.177.72 B.1.177.16 B.1.177.17 B.1.240.2 B.1.177.19 A.3 B.1.435 B.1.594 B.1.363 M.2 AQ.2 B.1.1.240 B.1.1.269 B.1.1.294 B.1.1.366 B.1.1.159 N.3 N.4 B.1.1.363 B.1.1.39 B.1.611 B.1.499 B.1.508 B.1.507 B.1.498 B.1.433 B.1.1.368 B.1.1.481 B.1.398 B.1.521 B.1.346 B.1.578 B.1.444 B.1.313 B.1.606 B.1.505 B.1.1.242 K.2 B.1.1.4 AG.1 B.1.1.290 B.1.1.291 B.1.36.12 B.1.177 B.1.1.38 B.1.1.456 B.1.1.326 B.1.1.77 B.1.1.459 B.1.1.289 B.1.1.221 B.1.9.5 B.1.1.133 AN.1 B.1.1.202 B.1.1.255 B.1.1.241 B.1.1.165 B.1.1.128 B.1.1.145 B.1.1.136 B.1.1.347 B.1.1.354 B.1.1.201 B.1.1.178 B.1.1.239 B.1.1.311 B.1.1.97 B.1.1.139 B.1.1.49 B.1.1.226 B.1.1.47 B.1.1.50 B.1.1.377 B.1.1.54 B.1.1.437 B.1.445 B.1.335 B.1.337 B.1.120 B.1.264.1 B.1.304 B.1.573 B.1.497 B.1.597 B.1.328 B.1.291 B.1.598 B.1.590 B.1.592 B.1.426 B.1.308 B.1.460 B.1.218 B.1.184 B.1.610 B.1.402 B.1.403 B.1.234 B.1.190 B.1.280 B.1.282 B.1.36.16 B.1.36.8 B.1.36.24 B.1.36.10 B.1.36.7 B.1.36.19 B.1.1.285 B.1.1.113 B.1.1.114 B.1.1.213 B.1.1.516 B.1.1.155 B.1.1.364 B.1.1.441 B.1.1.482 B.1.1.305 B.1.1.181 B.1.1.430 B.1.1.283 B.1.1.48 B.1.1.210 B.1.1.162 B.1.1.53 B.1.1.279 B.1.1.365 B.1.1.237 B.1.1.360 B.1.1.379 B.1.1.275 B.1.1.361 B.1.1.98 B.1.1.268 B.1.1.388 B.1.1.249 B.1.1.190 B.1.1.267 B.1.1.271 B.1.1.339 B.1.1.452 B.1.1.396 B.1.1.40 D.3 B.1.1.387 B.1.1.67 B.1.1.116 B.1.1.356 B.1.1.325 B.1.1.58 B.1.1.152 B.1.1.266 B.1.1.416 B.1.1.132 B.1.1.453 B.1.560 B.1.1.436 B.1.1.391 B.1.1.399 B.1.1.177 B.1.1.111 B.1.1.244 B.1.1.449 B.1.1.109 B.1.1.88 B.1.1.91 B.1.1.381 B.1.1.172 B.1.1.84 B.1.1.407 B.1.1.442 B.1.1.350 B.1.1.518 B.1.1.110 B.1.1.220 B.1.1.317 B.1.1.5 B.1.1.75 B.1.1.158 B.1.1.154 B.1.1.63 B.1.1.458 B.1.1.323 B.1.1.257 B.1.1.423 B.1.1.8 B.1.1.265 B.1.1.163 B.1.1.186 B.1.1.261 B.1.1.382 B.1.1.130 B.1.1.424 B.1.1.426 B.1.1.304 B.1.1.45 B.1.1.309 B.1.1.310 B.1.1.37 B.1.1.157 B.1.1.41 B.1.1.115 B.1.1.204 B.1.1.82 B.1.293 B.1.349 B.1.39 B.1.116 B.1.284 B.1.336 B.1.265 B.1.301 B.1.292 B.1.492 B.1.40 B.1.431 B.1.333 B.1.326 B.1.340 B.1.329 B.1.235 B.1.242 B.1.240 B.1.417 B.1.408 B.1.231 B.1.256 B.1.165 B.1.1.297 B.1.36 B.1.456 B.1.469 B.1.97 A.4 A.19 B.1.236 B.1.1.33 B.1.1.331 B.1.1.376 B.1.1.448 B.1.1.10 B.1.1.127 B.1.1.515 B.1.1.121 B.1.1.101 B.1.533 B.1.1.89 B.1.1.107 B.1.1.231 B.1.1.61 B.1.1.208 B.1.1.125 B.1.369 B.1.518 B.1.604 B.1.495 B.1.359 B.1.1.194 B.1.1.13 B.1.1.87 B.1.450 B.1.586 B.1.432 B.1.334 B.1.168 B.1.452 B.1.366 B.1.287 B.1.1.122 B.1.1.43 B.1.1.447 B.1.1.372 B.1.1.253 B.1.1.166 B.1.1.277 B.1.1.34 B.1.1.118 B.1.1.367 B.1.1.59 B.1.1.134 B.1.173 B.1.1.198 B.1.1.137 B.1.1.200 B.1.1.440 B.1.1.378 B.1.1.25 B.1.1.485 B.1.1.26 B.1.1.168 B.1.1.12 B.1.1.148 B.1.1.57 B.1.1.462 B.1.1.129 B.1.1.99 B.1.1.185 B.1.1.174 B.1.1.402 B.1.1.169 A.26 A.25 B.1.415 B.1.241 B.1.401 B.1.399 B.1.238 B.1.400 B.1.462 B.1.459 B.1.458 B.1.466 B.1.128 B.1.388 A.15 A.24 B.1.438 B.1.441 B.1.476 B.1.281 B.1.482 B.1.468 B.1.467 B.1.523 B.1.1.192 B.1.1.205 B.1.1.189 B.1.1.71 B.1.1.142 B.1.1.92 B.1.1.197 B.1.443 B.1.289 B.1.344 B.1.422 B.1.513 B.1.487 B.1.319 B.1.321 B.1.264 B.1.485 B.1.320 B.1.511 B.1.118 B.1.343 B.1.510 B.1.108 B.1.263 B.1.542 B.1.302 B.1.268 B.1.311 B.1.453 B.1.572 B.1.341 B.1.324 B.1.397 B.1.239 B.1.243 B.1.232 B.1.556 B.1.229 B.1.233 B.1.418 B.1.273 B.1.270 B.1.277 B.1.274 B.1.13 B.1.37 B.1.479 B.1.483 B.1.473 B.1.124 B.1.436 B.1.442 B.1.245 B.1.161 B.1.163 B.1.112 B.1.115 B.1.315 B.1.267 B.1.1 B.1.162 B.1.170 B.1.164 B.1.111 B.1.576 B.1.360 B.1.413 B.1.38 B.1.564 B.1.294 B.1.323 B.1.167 B.1.379 B.1.187 B.1.377 B.1.390 B.1.94 B.1.198 B.1.23 B.1.35 B.1.192 B.1.157 B.1.182 B.1.547 B.1.382 B.1.110 B.1.194 B.1.528 B.1.219 A.9 B.1.381 B.1.609 B.1.225 B.1.223 B.1.181 B.1.420 B.1.110.2 B.1.110.3 B.1.77 B.1.126 B.1.113 B.1.393 B.1.96 B.1.146 B.6 B.5 B.23 B.55 B.27 B.20 B.15 B.1.1.343 B.10 B.11 B.57 B.56 B.26 B.12 B.50 B.47 A.16 B.1 B.18 B.53 A B.13 B.45 B.46 B.1.395 B.1.201 B.1.179 B.1.8 B.1.215 B.1.76 B.1.67 B.1.139 AH.1 B.1.36.33 B.1.177.52 B.1.177.24 B.1.177.70 B.1.177.45 B.1.177.10 B.1.177.20 B.1.177.50 B.1.177.14 B.1.177.9 B.1.177.33 B.1.1.272 B.1.1.44 AJ.1 AH.2 B.1.177.77 B.1.177.43 AQ.1 AH.3 B.1.36.31 B.1.177.28 B.1.177.21 B.1.177.49 K.3 B.1.36.25 Y.1 B.1.177.65 B.1.177.60 B.1.177.8 B.1.177.48 B.1.177.7	0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374 0.00172374	0.03778033092613188	16.306056248536937
Mixture17	[('Iota', 0.9973360154759657)]	B.1.526	0.99733602	0.16285839145115777	34.896164264455074
Mixture03	[('Omicron', 0.9974277426378662)]	XAH BA.4.1.6 BA.4.2 BA.4.1.4 BA.4.1.5 BA.4.1.1 BA.4.1 BA.4 BA.5 BA.5.5 BA.5.5.2 BA.5.8	0.50242504 0.06477384 0.06477384 0.06477384 0.06477384 0.06477384 0.06477384 0.06477384 0.01039646 0.01039646 0.01039646 0.01039646	3.1542116268659037	30.712637528007225
Mixture09	[('Other', 0.9993207310855068)]	B.12 B.50 B.27 B.20 B.15 B	0.16655346 0.16655346 0.16655346 0.16655346 0.16655346 0.16655346	2.433420269629857	62.81309567601913
Mixture05	[('Omicron', 0.997645506501474)]	XN BA.2.23 BA.2.23.1 BA.4.1.8 BA.4.1.4 BA.4.1.6 BA.4.1 BA.4.1.9	0.13248324 0.13248324 0.13248324 0.12003916 0.12003916 0.12003916 0.12003916 0.12003916	7.060871399553964	29.90335417851052
Mixture11	[('Omicron', 0.999404222212285)]	BG.3 BG.5	0.49970211 0.49970211	0.9181100644636639	41.05942547570478
Mixture31	[('Other', 0.992215683208183)]	C.28 B.1.1.339 B.1.94 B.1.198	0.98434365 0.00515464 0.00135869 0.00135869	6.795467384289132	28.796441828579074
Mixture30	[('Omicron', 0.9995932131332543)]	BA.4.8	0.99959321	2.147563166701184	41.213256195030596
